"bpid","chnname","korname","family_clan","birth","death","plastic"
"G002+AKS-KHF_13C784C548CCA0B1769X0","林顔喆","임안철","나주(羅州)",1769,,"silver"
"G002+AKS-KHF_12C774D6C4FFFFB1828X0","李","이후","연안(延安)",1828,,"silver"
"G002+AKS-KHF_13C774ACBDC0DDU9999X0","李敬生","이경생","강양(江陽)",,,"plastic"
"G002+AKS-KHF_13D669C9C4C190B1426X0","黃震孫","황진손","평해(平海)",1426,1497,"plastic"
"G002+AKS-KHF_13C774ACBDD718B1617X0","李慶徽","이경휘","경주(慶州)",1617,1669,"silver"
"G002+AKS-KHF_12C774D1B5FFFFU9999X0","李通","이통","경주(慶州)",,,"silver"
"G002+AKS-KHF_13C548D5CCBBFCB1597X0","安獻民","안헌민","순흥(順興)",1597,,"plastic"
"G002+AKS-KHF_13C774AD11C775B1703X0","李光瀷","이광익","평창(平昌)",1703,1780,"silver"
"G002+AKS-KHF_13C870C0C1C625B1788X0","趙相玉","조상옥","배천(白川)",1788,,"plastic"
"G002+AKS-KHF_13C870ACC4C0C1B1466X0","曺繼商","조계상","창녕(昌寧)",1466,1543,"silver"
"G002+AKS-KHF_12BC15B834FFFFB1532X0","朴簾","박염","반남(潘南)",1532,1583,"silver"
"G002+AKS-KHF_13C774B178C220B1741X0","李魯述","이노술","덕수(德水)",1741,,"silver"
"G002+AKS-KHF_13D64DD559C8FCB1839X0","洪學周","홍학주","풍산(豊山)",1839,,"silver"
"G002+AKS-KHF_13C624D558CCA0B1783X0","吳夏哲","오하철","해주(海州)",1783,,"plastic"
"G002+AKS-KHF_13C774AC74C6A9B1842X0","李建容","이건용","전주(全州)",1842,,"silver"
"G002+AKS-KHF_13BC15B178C0BCB1850X0","朴魯參","박노삼","순천(順天)",1850,,"plastic"
"G002+AKS-KHF_13C624C815C704B1616X0","吳挺緯","오정위","동복(同福)",1616,1692,"silver"
"G002+AKS-KHF_13BBFCBCF4D6C8B1858X0","閔輔勳","민보훈","여흥(驪興)",1858,1886,"silver"
"G002+AKS-KHF_13B0A8D559B85CB1703X0","南鶴老","남학노","의령(宜寧)",1703,,"silver"
"G002+AKS-KHF_13AE40C6B0C601B1846X0","金羽永","김우영","의성(義城)",1846,,"silver"
"G002+AKS-KHF_13D669D558D760B1809X0","黃夏欽","황하흠","회덕(懷德)",1809,,"plastic"
"G002+AKS-KHF_13C815C5B8C12CB1720X0","鄭彦暹","정언섬","동래(東萊)",1720,1783,"silver"
"G002+AKS-KHF_13C870C131D558B1845X0","趙成夏","조성하","풍양(豊壤)",1845,1881,"silver"
"G002+AKS-KHF_13C591C131ADDCB1661X0","梁聖揆","양성규","남원(南原)",1661,1707,"silver"
"G002+AKS-KHF_13C815C6B4D615B1669X0","鄭運亨","정운형","나주(羅州)",1669,,"plastic"
"G002+AKS-KHF_12C774C740FFFFB1604X0","李訔","이은","성산(星山)",1604,,"plastic"
"G002+AKS-KHF_13C815C0ACB7C9U9999X0","鄭思亮","정사양","진양(晉陽)",,,"silver"
"G002+AKS-KHF_13C774C801C758B1652X0","李適意","이적의","경주(慶州)",1652,1725,"silver"
"G002+AKS-KHF_13BBFCC601C870B1749X0","閔榮祖","민영조","여흥(驪興)",1749,1801,"silver"
"G002+AKS-KHF_13C774D76CC81CB1662X0","李喜濟","이희제","광주(廣州)",1662,,"silver"
"G002+AKS-KHF_13C815AE30C120B1784X0","鄭基善","정기선","동래(東萊)",1784,1839,"silver"
"G002+AKS-KHF_13CC28C2E0C6A9B1748X0","車信用","차신용","연안(延安)",1748,,"plastic"
"G002+AKS-KHF_13D64DC885CC2CB1837X0","洪鍾燦","홍종찬","남양(南陽[唐])",1837,,"plastic"
"G002+AKS-KHF_13C870C815C704B1659X0","趙正緯","조정위","임천(林川)",1659,1703,"silver"
"G002+AKS-KHF_13CD5CC720C6D0B1561X0","崔有源","최유원","해주(海州)",1561,1614,"silver"
"G002+AKS-KHF_13AE40BCD1AD6CB1782X0","金炳球","김병구","안동(安東[新])",1782,,"silver"
"G002+AKS-KHF_13CD5CC218C6D0B1717X0","崔守元","최수원","전주(全州)",1717,,"silver"
"G002+AKS-KHF_12D64DC11CFFFFB1686X0","洪曙","홍서","남양(南陽[唐])",1686,,"silver"
"G002+AKS-KHF_13C548C885BA74B1846X0","安鍾冕","안종면","순흥(順興)",1846,,"plastic"
"G002+AKS-KHF_13C11CD544C6D0B1614X0","徐必遠","서필원","부여(扶餘)",1614,1671,"silver"
"G002+AKS-KHF_13BC15BD95B9B0U9999X0","朴鵬鱗","박붕인","함양(咸陽)",,,"silver"
"G002+AKS-KHF_12C724C815FFFFU9999X0","尹霆","윤정","남원(南原)",,,"silver"
"G002+AKS-KHF_13C624C7ACC740B1874X0","吳在殷","오재은","해주(海州)",1874,,"plastic"
"G002+AKS-KHF_13C774D718BCD1B1819X0","李彙秉","이휘병","진성(眞城)",1819,,"plastic"
"G002+AKS-KHF_12C2ECC218FFFFB1743X0","沈銖","심수","청송(靑松)",1743,,"silver"
"G002+AKS-KHF_13C720C0ACD3C9B1760X0","劉師玶","유사평","충주(忠州)",1760,,"plastic"
"G002+AKS-KHF_13C720C9C4CC2CB1866X0","兪鎭贊","유진찬","기계(杞溪)",1866,1947,"plastic"
"G002+AKS-KHF_13C2E0C7ACC5C5B1767X0","申在業","신재업","평산(平山)",1767,,"silver"
"G002+AKS-KHF_12C774ACC4FFFFB1761X0","李㬖","이계","덕수(德水)",1761,,"plastic"
"G002+AKS-KHF_13C2E0C5B8ACBDB1540X0","愼彦慶","신언경","거창(居昌)",1540,,"silver"
"G002+AKS-KHF_13BC15CC3DD55CB1642X0","朴昌漢","박창한","무안(務安)",1642,1718,"silver"
"G002+AKS-KHF_13AE40D558C7ACB1745X0","金夏材","김하재","광산(光山)",1745,1784,"silver"
"G002+AKS-KHF_13C815D604B3C4B1743X0","鄭顯道","정현도","하동(河東)",1743,,"plastic"
"G002+AKS-KHF_13C774D615AE30B1729X0","李亨基","이형기","광주(廣州)",1729,,"silver"
"G002+AKS-KHF_13CD5CC885D658B1788X0","崔宗煥","최종환","나주(羅州)",1788,,"plastic"
"G002+AKS-KHF_13AE40B4DDC218B1798X0","金得秀","김득수","경주(慶州)",1798,,"silver"
"G002+AKS-KHF_13C1A1C775BA74B1847X0","宋益勉","송익면","여산(礪山)",1847,,"plastic"
"G002+AKS-KHF_13C774C0BCC0B0U9999X0","李三山","이삼산","연안(延安)",,,"plastic"
"G002+AKS-KHF_13C591C131C9C0B1415X0","梁誠之","양성지","남원(南原)",1415,1482,"silver"
"G002+AKS-KHF_13AE40BCD1C2DCB1832X0","金炳始","김병시","안동(安東[新])",1832,1898,"silver"
"G002+AKS-KHF_13C774C751C2E0B1776X0","李應信","이응신","덕수(德水)",1776,,"silver"
"G002+AKS-KHF_13C815C0C1ACB8B1692X0","鄭尙謙","정상겸","광주(廣州)",1692,,"plastic"
"G002+AKS-KHF_13B098B9CCC601B1652X0","羅晩榮","나만영","나주(羅州)",1652,1698,"plastic"
"G002+AKS-KHF_13C774AE30B3D9B1809X0","李基東","이기동","진성(眞城)",1809,,"plastic"
"G002+AKS-KHF_13AD8CC2DCACBDB1667X0","權始經","권시경","안동(安東)",1667,,"silver"
"G002+AKS-KHF_13C815D55CC8FCB1661X0","鄭漢柱","정한주","초계(草溪)",1661,,"silver"
"G002+AKS-KHF_13AD8CC138C219B1707X0","權世橚","권세숙","안동(安東)",1707,1758,"silver"
"G002+AKS-KHF_13CD5CC775B0A8B1724X0","崔益男","최익남","전주(全州)",1724,1770,"silver"
"G002+AKS-KHF_12AE40C9D1FFFFB1686X0","金㙫","김집","순천(順天)",1686,,"silver"
"G002+AKS-KHF_13AD8CB3C8C778B1783X0","權敦仁","권돈인","안동(安東)",1783,1859,"silver"
"G002+AKS-KHF_13C11CAD6DC815B1580X0","徐國楨","서국정","남평(南平)",1580,1623,"silver"
"G002+AKS-KHF_13B0A8ACC4C601B1415X0","南季瑛","남계영","의령(宜寧)",1415,,"silver"
"G002+AKS-KHF_13C2E0C758D654B1637X0","申儀華","신의화","평산(平山)",1637,1662,"silver"
"G002+AKS-KHF_13C870C885C6B0B1832X0","趙鍾宇","조종우","한양(漢陽)",1832,,"silver"
"G002+AKS-KHF_13C774C0C1D734B1664X0","李相休","이상휴","연안(延安)",1664,,"silver"
"G002+AKS-KHF_13B098D559CC9CB1658X0","羅學川","나학천","수성(壽城)",1658,1731,"silver"
"G002+AKS-KHF_13C774C591C2E0B1801X0","李亮信","이양신","덕수(德水)",1801,,"plastic"
"G002+AKS-KHF_13ACFDCE58C12DB1810X0","郭致燮","곽치섭","청주(淸州)",1810,,"plastic"
"G002+AKS-KHF_13C7A5D6C4C0C1B1677X0","張后相","장후상","인동(仁同[2])",1677,1742,"plastic"
"G002+AKS-KHF_13C804AC00C0DDU9999X0","田稼生","전가생","남양(南陽)",,,"silver"
"G002+AKS-KHF_13AE40BD09C870B1572X0","金奉祖","김봉조","풍산(豊山)",1572,1630,"silver"
"G002+AKS-KHF_13AE40C2DCD604B1633X0","金時鉉","김시현","경주(慶州)",1633,1693,"silver"
