"bid","bpid","affilliation","rank","competitors","exam_type","pass_year","king","lid","previous","exam_class","class_rank","pass_date"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012745&category=dirSer","G002+AKS-KHF_13D64DACBDC12DB1815X0","문과",4,38,"식년시",1846,"헌종",90,"유학(幼學)","을과(乙科)",1,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012752&category=dirSer","G002+AKS-KHF_13BC31C885ADDCB1819X0","문과",11,38,"식년시",1846,"헌종",4,"유학(幼學)","병과(丙科)",1,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012758&category=dirSer","G002+AKS-KHF_13C774C815D6C4B1819X0","문과",17,38,"식년시",1846,"헌종",12,"유학(幼學)","병과(丙科)",7,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012748&category=dirSer","G002+AKS-KHF_13B9F9B3C4C2DDB1806X0","문과",7,38,"식년시",1846,"헌종",199,"유학(幼學)","을과(乙科)",4,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012749&category=dirSer","G002+AKS-KHF_13AE40C6A9C775B1813X0","문과",8,38,"식년시",1846,"헌종",138,"유학(幼學)","을과(乙科)",5,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1844_012704&category=dirSer","G002+AKS-KHF_13AE08C2DCC220B1783X0","문과",26,39,"증광시",1844,"헌종",194,"유학(幼學)","병과(丙科)",16,"1844-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012732&category=dirSer","G002+AKS-KHF_13C7A5C6A9ADDCB1823X0","문과",1,7,"정시",1846,"헌종",229,"유학(幼學)","갑과(甲科)",1,"1846-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1885_014394&category=dirSer","G002+AKS-KHF_13C774ACC4C885B1845X0","문과",27,35,"식년시",1885,"고종",327,"진사(進士)","병과(丙科)",17,"1885-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1880_014128&category=dirSer","G002+AKS-KHF_13D55CD544C740B1845X0","문과",53,72,"증광시",1880,"고종",252,"유학(幼學)","병과(丙科)",43,"1880-07-01"
"http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1846_012751&category=dirSer","G002+AKS-KHF_13B9F9B178C220B1810X0","문과",10,38,"식년시",1846,"헌종",199,"유학(幼學)","을과(乙科)",7,"1846-07-01"
