id1,namehg1,namehj1,year,prevdegreehg,prevdegreehj,source,courtesynamehg,courtesynamehj,ancestralseathg,choronymhg,ancestralseathj,choronymhj,addresshg,addresshj,pennamehg,pennamehj,posthumoustitlehg,posthumoustitlehj,error
13102,조병철,趙秉轍,1870,유학,幼學,MTPB 070B 4C; PSTP 24-011A,치유,稚由,풍양,풍양 조,豊壤,豊壤 趙,경,京,,,,,
13103,이제필,李濟弼,1870,유학,幼學,MTPA 018A 3C,,,전주,전주 이,全州,全州 李,포천,抱川,,,,,
13104,이선호,李善浩,1870,진사,進士,MTPA 122B 1C,성능,聖能,여주,여주 이,驪州,驪州 李,경,京,,,,,
13105,박우현,朴遇賢,1870,유학,幼學,MTP NL,,,, 박,, 朴,영천,榮川,,,,,
13106,김영목,金永穆,1870,진사,進士,MTPA 163A 2C; PSTP 16-012A,청우,淸友,광산,광산 김,光山,光山 金,경,京,,,,,
13107,민태호,閔台鎬,1870,전판관,前判官,MTPB 146B 4C; PSTP 43-025B,경평,景平,여흥,여흥 민,驪興,驪興 閔,경,京,표정,杓庭,,,
13108,김연수,金演壽,1870,진사,進士,MTPA 178B 1C; PSTP 18-018B,영지,永之,강릉,강릉 김,江陵,江陵 金,경(京),墓在 洪陽,,,,,
13109,홍은모,洪殷謨,1870,유학,幼學,MTPB 041A 3B; PSTP 33-099A,,,풍산,풍산 홍,豊山,豊山 洪,원주,原州,,,,,
13110,백악흥,白樂興,1870,유학,幼學,MTP NL,,,수원,수원 백,水原,水原 白,태천,泰川,,,,,
13111,조승하,趙承夏,1870,유학,幼學,MTP NL,,,강진,강진 조,康津,康津 趙,강진,康津,,,,,
13112,김명진,金明鎭,1870,진사,進士,MTPA 175A 1C; PSTP 15-066B,치성,稚誠,안동,안동 김,安東,安東 金,경,京,,,,,
13113,김규식,金奎軾,1870,진사,進士,MTPA 190A 4C; PSTP 17-057A,우약,雨若,청풍,청풍 김,淸風,淸風 金,경,京,,,,,
13114,박종대,朴鍾大,1870,유학,幼學,MTP NL,,,함양,함양 박,咸陽,咸陽 朴,공주,公州,,,,,
13115,권붕규,權鵬圭,1870,유학,幼學,MTP NL,,,안동,안동 권,安東,安東 權,원주,原州,,,,,
13116,이헌영,李永,1870,진사,進士,MTPA 062A 2D; PSTP 08-050A,경도,景道,전주,전주 이,全州,全州 李,경,京,,,,,
13117,민치량,閔致亮,1870,유학,幼學,MTP NL,주현,周賢,여흥,여흥 민,驪興,驪興 閔,산청,山淸,계초,稽樵,,,
13118,기관현,奇觀鉉,1870,유학,幼學,MTPB 245B 2D,대현,大現,행주,행주 기,幸州,幸州 奇,나주,羅州,,,,,
13119,신종구,愼鍾龜,1870,유학,幼學,MTPB 238A 3BP; PSTP 43-068A,,,거창,거창 신,居昌,居昌 愼,안의,安義,,,,,
13120,권인룡,權仁龍,1870,유학,幼學,MTPB 063B 3C,,,안동,안동 권,安東,安東 權,단양,丹陽,,,,,
13121,조중린,趙重麟,1870,유학,幼學,MTP NC,,,충주,충주 조,忠州,忠州 趙,의주,義州,,,,,
13122,신재린,申在鱗,1870,유학,幼學,MTP NL,,,평산,평산 신,平山,平山 申,영변,寧邊,,,,,
13123,권봉환,權鳳煥,1870,유학,幼學,MTPB 065B 3A,,,안동,안동 권,安東,安東 權,의녕,宜寧,,,,,
13124,송익면,宋益勉,1870,유학,幼學,MTPB 183B 1A,,,여산,여산 송,礪山,礪山 宋,동복,同福,,,,,
13125,이승엽,李昇燁,1870,유학,幼學,MTP NL,,,단양,단양 이,丹陽,丹陽 李,재령,載寧,,,,,
13126,박문빈,朴文彬,1870,유학,幼學,MTP NL,,,밀양,밀양 박,密陽,密陽 朴,김성,金城,,,,,
13127,노덕룡,盧德龍,1870,유학,幼學,MTP NC,,,해주,해주 노,海州,海州 盧,정주,定州,,,,,
13128,이만로,李晩魯,1870,유학,幼學,MTPA 132B 1B,제경,濟卿,진보,진보 이,眞寶,眞寶 李,예안,禮安,,,,,
13129,김덕제,金德濟,1870,유학,幼學,MTP NL,,,연안,연안 김,延安,延安 金,정주(定州),墓在 定州,,,,,
13130,김창내,金昌,1870,유학,幼學,MTP NC,,,은진,은진 김,恩津,恩津 金,가산,嘉山,,,,,
13131,한병수,韓炳洙,1870,유학,幼學,MTP NL,,,청주,청주 한,淸州,淸州 韓,성천,成川,,,,,
13132,채용묵,蔡容默,1870,유학,幼學,MTPB 231A 1C; PSTP 45-079A,치규,穉圭,평강,평강 채,平康,平康 蔡,아산(牙山),墓在 牙山,,,,,
13133,유영도,柳永燾,1870,유학,幼學,"MTPB 012B 1A; PSTP 28-042B (但, 永道로 나온다)",여일,汝一,문화,문화 유,文化,文化 柳,장단,長湍,춘계,春溪,,,
13134,윤황,尹,1870,유학,幼學,MTP NL,,,파평,파평 윤,坡平,坡平 尹,성천,成川,,,,,
13135,박응룡,朴應龍,1870,유학,幼學,MTP NC,,,여주,여주 박,驪州,驪州 朴,정주,定州,,,,,
13136,이약수,李藥秀,1870,유학,幼學,MTP NL,수민,壽民,공주,공주 이,公州,公州 李,동복,同福,,,,,
13137,이기동,李基東,1870,유학,幼學,MTPA 101B 1BP; PSTP 13-051A,,,광주,광주 이,廣州,廣州 李,남원,南原,,,,,
13138,박명수,朴明壽,1870,유학,幼學,MTPA 213B 3A; PSTP 26-044A,도년,道年,반남,반남 박,潘南,潘南 朴,영천,榮川,국천,菊泉,,,
13139,원인항,元寅恒,1870,유학,幼學,MTP NL ; PSTP 37-074B,,,원주,원주 원,原州,原州 元,남원,南原,,,,,
13140,홍희제,洪羲濟,1870,유학,幼學,MTP NL,사륜,士倫,남양,남양 홍,南陽,南陽 洪,정주(定州),墓在 定州,,,,,
13141,심관섭,沈觀燮,1870,유학,幼學,MTP NL,,,청송,청송 심,靑松,靑松 沈,양구,楊口,,,,,
13142,최처심,崔處心,1870,유학,幼學,MTP NC,,,백천,백천 최,白川,白川 崔,정주,定州,,,,,
13143,김기운,金麒運,1870,유학,幼學,MTP NL,,,서흥,서흥 김,瑞興,瑞興 金,현풍,玄風,,,,,
13144,전홍교,全洪敎,1870,유학,幼學,MTP NL,,,용궁,용궁 전,龍宮,龍宮 全,용인,龍仁,,,,,
13145,백영제,白永濟,1870,유학,幼學,MTP NL,,,수원,수원 백,水原,水原 白,정주,定州,,,,,
13146,이기조,李基肇,1870,유학,幼學,MTP NL,,,공주,공주 이,公州,公州 李,영변,寧邊,,,,,
13147,백선행,白璿行,1870,유학,幼學,MTP NL,,,수원,수원 백,水原,水原 白,정주,定州,,,,,
13148,백규섭,白奎燮,1870,유학,幼學,MTP NL,,,선산,선산 백,善山,善山 白,태천,泰川,,,,,
13149,조규석,趙圭錫,1870,유학,幼學,MTP NL,,,백천,백천 조,白川,白川 趙,정주,定州,,,,,
13150,이재만,李載晩,1871,유학,幼學,MTPA 064A 1A; PSTP 08-063A,,,전주,전주 이,全州,全州 李,포천,抱川,,,,,
13151,민영목,閔泳穆,1871,유학,幼學,"MTPB 146B 4D; PSTP 22-094A, 43-024B",원경,遠卿,여흥,여흥 민,驪興,驪興 閔,여주,驪州,천식,泉食,문충,文忠,
13152,김명기,金命基,1871,유학,幼學,MTPA 180B 2D; PSTP 17-023B,충문,充文,연안,연안 김,延安,延安 金,수원,水原,,,,,
13153,김용규,金容圭,1871,유학,幼學,MTPA 195B 4C,원복,元復,상주,상주 김,尙州,尙州 金,경,京,,,,,
13154,유석,柳,1871,유학,幼學,MTPB 020B 3D; PSTP 28-077A,공필,公弼,전주,전주 유,全州,全州 柳,경,京,,,,,
13155,정원화,鄭元和,1871,생원,生員,MTPA 248B 1B; PSTP 20-065A,순일,舜一,청주,청주 정,淸州,淸州 鄭,경,京,,,,,
13156,유종식,柳宗植,1871,유학,幼學,MTPB 020B 2C; PSTP 28-071B,예경,禮卿,전주,전주 유,全州,全州 柳,경,京,,,,,
13157,오수환,吳壽煥,1871,유학,幼學,MTP NL,,,보성,보성 오,寶城,寶城 吳,김제,金堤,,,,,
13158,이호익,李鎬翼,1871,유학,幼學,MTPA 140B 2B,사유,士猷,우봉,우봉 이,牛峰,牛峰 李,경,京,,,,,
13159,김학진,金鶴鎭,1871,진사,進士,MTPA 174A 1C; PSTP 15-056A,성천,聖天,안동,안동 김,安東,安東 金,경,京,,,,,
13160,최정헌,崔鼎獻,1871,유학,幼學,MTP NL,,,전주,전주 최,全州,全州 崔,평양,平壤,,,,,
13161,한익뢰,韓益雷,1871,유학,幼學,MTP NL,,,청주,청주 한,淸州,淸州 韓,정평,定平,,,,,
13162,장인환,張仁煥,1871,유학,幼學,MTP NL,,,순천,순천 장,順天,順天 張,안동,安東,,,,,
13163,홍재찬,洪在瓚,1871,유학,幼學,MTPB 027A 4C; PSTP 33-004A,,,남양,남양 홍,南陽,南陽 洪,고양,高陽,,,,,
13164,김우영,金羽永,1871,진사,進士,MTPA 185B 1C,경함,景咸,의성,의성 김,義城,義城 金,순흥(順興),墓在 順興,해옥,海屋,,,
13165,서정순,徐正淳,1871,생원,生員,MTPB 165B 3B,원중,元中,대구,대구 서,大丘,大丘 徐,경,京,,,,,
13166,이근명,李根命,1871,생원,生員,MTPA 089A 2C; PSTP 12-045A,순구,舜九,전의,전의 이,全義,全義 李,경,京,동미,東眉,,,
13167,임용상,林瑢相,1871,유학,幼學,MTPB 217B 4B,,,나주,나주 임,羅州,羅州 林,나주,羅州,,,,,
13168,한기동,韓耆東,1871,유학,幼學,MTPB 100A 1B; PSTP 31-018A,경회,景會,청주,청주 한,淸州,淸州 韓,경,京,,,,,
13169,박봉빈,朴鳳彬,1871,진사,進士,MTPA 224A 4C; PSTP 26-051B,한사,漢四,고령,고령 박,高靈,高靈 朴,경,京,,,,,
13170,유진학,兪鎭學,1871,진사,進士,"MTPB 201A 1B; PSTP 17-046B, 39-023A",,,기계,기계 유,杞溪,杞溪 兪,경,京,경습,景習,,,
13171,강찬,姜,1871,진사,進士,MTPB 115B 4B,순양,舜襄,진주,진주 강,晋州,晋州 姜,경,京,백석,白石,,,
13172,조병필,趙秉弼,1871,유학,幼學,MTPB 073A 1C; PSTP 24-034B,성필,聖弼,풍양,풍양 조,豊壤,豊壤 趙,경,京,간산,幹山,문정,文靖,
13173,이재덕,李載悳,1871,유학,幼學,MTPA 064A 4D; PSTP 08-068A,,,전주,전주 이,全州,全州 李,경,京,,,,,
13174,조종익,趙鍾翼,1871,진사,進士,MTPB 078A 2B; PSTP 25-029B,,,한양,한양 조,漢陽,漢陽 趙,경,京,상우,商羽,,,
13175,김덕균,金德均,1871,유학,幼學,"MTPA 176A 4B; PSTP 15-079A, 35-043B",,,안동,안동 김,安東,安東 金,경,京,,,,,
13176,윤용구,尹用求,1871,유학,幼學,MTPA 274B 1C; PSTP 23-016A,주빈,周賓,해평,해평 윤,海平,海平 尹,경,京,,,,,
13177,윤선주,尹善柱,1871,유학,幼學,MTP NL,,,파평,파평 윤,坡平,坡平 尹,가산,嘉山,,,,,
13178,윤조영,尹祖榮,1871,유학,幼學,MTPA 268A 4C; PSTP 22-085A,,,파평,파평 윤,坡平,坡平 尹,경,京,,,,,
13179,이필용,李弼鎔,1871,유학,幼學,MTPA 063B 2B; PSTP 08-058A,,,전주,전주 이,全州,全州 李,경,京,,,,,
13180,이윤구,李允九,1871,유학,幼學,MTP NL,,,전주,전주 이,全州,全州 李,나주,羅州,,,,,
13181,이윤우,李允宇,1871,유학,幼學,MTP NL ; PSTP 03-065A,,,전주,전주 이,全州,全州 李,성주,星州,,,,,
13182,이회룡,李會龍,1871,유학,幼學,MTP NL ; PSTP 03-062A,,,전주,전주 이,全州,全州 李,양주,楊州,,,,,
13183,김옥균,金玉均,1872,유학,幼學,MTPA 176A 1B; PSTP 15-074A,백온,伯溫,안동,안동 김,安東,安東 金,경,京,"고균(古筠), 고우",古愚,충달,忠達,
13184,이교하,李敎夏,1872,유학,幼學,MTPA 007B 4B; PSTP 01-048B,치성,稚聲,전주,전주 이,全州,全州 李,경,京,,,,,
13185,조인승,曺寅承,1872,유학,幼學,MTPB 213B 4C; PSTP 42-115B,경빈,景賓,창녕,창녕 조,昌寧,昌寧 曺,경,京,,,,,
13186,이한춘,李漢春,1872,유학,幼學,MTPA 047B 3B,사신,士信,전주,전주 이,全州,全州 李,경(京),墓在 楊州,,,,,
13187,김원제,金源濟,1872,유학,幼學,MTPA 153B 2B,,,경주,경주 김,慶州,慶州 金,경,京,,,,,
13188,왕성협,王性協,1872,진사,進士,MTP NL,자화,子和,개성,개성 왕,開城,開城 王,개성,開城,,,,,
13189,장규홍,張逵鴻,1872,유학,幼學,MTP NL,,,단양,단양 장,丹陽,丹陽 張,개성,開城,,,,,
13190,왕용주,王用周,1872,유학,幼學,MTP NL,,,개성,개성 왕,開城,開城 王,개성,開城,,,,,
13191,왕언상,王彦商,1872,유학,幼學,MTP NL,,,개성,개성 왕,開城,開城 王,개성,開城,,,,,
13192,오정권,吳鼎權,1872,유학,幼學,MTP NL,,,해주,해주 오,海州,海州 吳,개성,開城,,,,,
13193,한석동,韓奭東,1872,유학,幼學,MTPB 100A 2B; PSTP 31-020A,,,청주,청주 한,淸州,淸州 韓,온양,溫陽,,,,,
13194,이범조,李範祖,1872,진사,進士,MTPA 006B 2C; PSTP 01-039B,,,전주,전주 이,全州,全州 李,경,京,,,,,
13195,민영상,閔泳商,1872,진사,進士,MTPB 146B 3D; PSTP 43-024B,이경,伊卿,여흥,여흥 민,驪興,驪興 閔,여주(驪州),墓在 大興,,,,,
13196,이창언,李昌彦,1872,유학,幼學,MTP NL,,,교하,교하 이,交河,交河 李,,,,,,,
13197,김기택,金基宅,1872,유학,幼學,MTP NL,,,경주,경주 김,慶州,慶州 金,김구,金溝,,,,,
13198,이만교,李萬敎,1872,유학,幼學,MTPA 084A 1D; PSTP 10-082B,치억,稚億,연안,연안 이,延安,延安 李,경,京,,,,,
